MatrixIndex,ConditionNumber
0,1028246932797371.5
1,957776010477390.0
2,870618287968291.6
3,856962098500143.8
4,735669334058007.0
5,694546565117285.8
6,653034039443669.8
7,624496948735196.1
8,569437681032851.1
9,544906992510429.6
10,499501938150623.7
11,472141952989051.1
12,429586747284873.25
13,411280611665172.1
14,376614419958241.9
15,352095961472824.44
16,329517508521754.3
17,308105954419724.1
18,286630806625898.6
19,271967577218944.6
20,252737523312510.34
21,234359118357573.2
22,217558034569814.1
23,201550647352045.12
24,192020983538463.4
25,179813094515093.12
26,166320240847570.0
27,155436785111560.2
28,145692111202315.12
29,133345399376438.98
30,124771558049771.81
31,117196321593622.3
32,109228072867093.78
33,101630333586532.95
34,95582411878161.3
35,88249064503582.23
36,82903652263066.89
37,77486011965806.47
38,72359327234306.17
39,67586360079487.03
40,62934566656649.35
41,58664765065222.19
42,54825801274114.914
43,51237565743002.84
44,47819129677827.32
45,44453826395447.07
46,41535736871090.37
47,38888987837562.64
48,36211279453484.81
49,33782669699117.445
50,31549944818554.676
51,29414188193108.125
52,27487838747040.164
53,25606491504329.617
54,23921875730562.805
55,22323294143918.445
56,20821843663790.21
57,19430019971786.55
58,18132026710950.543
59,16925866264800.46
60,15806972915301.225
61,14725409732243.732
62,13738936506602.521
63,12829374058705.695
64,11959344003043.705
65,11172696567704.67
66,10426479388007.309
67,9731491977146.47
68,9077277248105.59
69,8469821896569.036
70,7908960774765.085
71,7377986225010.734
72,6886049098300.794
73,6424579072439.816
74,5993455485549.713
75,5591590852276.099
76,5220584749233.378
77,4872025483419.321
78,4545794945081.488
79,4243175718523.187
80,3958006356543.358
81,3694839512595.437
82,3448462842056.144
83,3218236632081.5356
84,3002909908137.16
85,2801651305700.967
86,2614785640304.0977
87,2440942417769.105
88,2277116800403.8955
89,2124850903906.885
90,1983079151915.3433
91,1850241998663.093
92,1726717098800.9336
93,1611592490077.3025
94,1503744627477.4087
95,1403214554099.424
96,1309587834448.6409
97,1221987104809.0315
98,1140407012881.7095
99,1064135960260.2753
100,993165531914.2205
101,926683912274.0298
102,864805467378.3884
103,807056694723.7522
104,753170075778.7573
105,702797273326.2548
106,655869367475.4458
107,612031136744.3678
108,571161035349.8093
109,533005789165.5459
110,497385239249.51227
111,464166143515.33795
112,433148374451.87286
113,404204112592.497
114,377217636799.84564
115,352005567092.42017
116,328482976413.85864
117,306541815540.37994
118,286067582898.95605
119,266938613637.22235
120,249111014596.2779
121,232471230901.8097
122,216939188993.37708
123,202446755772.14343
124,188918634005.4125
125,176296839882.99152
126,164518316232.63055
127,153529238498.7438
128,143270026665.96838
129,133698710691.37082
130,124765758247.46739
131,116430850053.76186
132,108651233802.76146
133,101392955167.05156
134,94617504450.4016
135,88297416497.14116
136,82398156511.4651
137,76892879753.84416
138,71755610823.39763
139,66961689184.457344
140,62488296112.71616
141,58312997945.65907
142,54417135406.7595
143,50781532068.60694
144,47388823240.14901
145,44222747930.97905
146,41268139554.989075
147,38511033183.58736
148,35938101983.380775
149,33537108844.678696
150,31296405377.721565
151,29205551700.90935
152,27254320674.264065
153,25433434754.042347
154,23734245372.911915
155,22148549743.763863
156,20668812513.861057
157,19287924864.449505
158,17999269544.087696
159,16796751874.278372
160,15674545446.39826
161,14627353004.227907
162,13650072968.175327
163,12738121134.954208
164,11887069798.002007
165,11092896191.976624
166,10351774543.34234
167,9660174169.495707
168,9014769647.68155
169,8412498539.429942
170,7850458477.183444
171,7325961565.721268
172,6836519223.008609
173,6379768813.996359
174,5953534054.454387
175,5555776517.451565
176,5184594958.957748
177,4838210751.483682
178,4514968857.453067
179,4213321855.4448247
180,3931829453.8846107
181,3669142348.8875027
182,3424005684.0051365
183,3195247211.595584
184,2981772607.7035923
185,2782560522.905589
186,2596656083.6294923
187,2423172812.990805
188,2261280094.5956182
189,2110203553.8108304
190,1969220535.8595905
191,1837656169.174372
192,1714882093.4876533
193,1600310322.3783588
194,1493393240.2054484
195,1393619456.2755938
196,1300511269.9224155
197,1213623797.270724
198,1132541317.824008
199,1056875967.3245783
200,986265833.021286
201,920373142.5185796
202,858882840.3989578
203,801500734.2600043
204,747952253.6932995
205,697981395.8654076
206,651349113.664372
207,607832281.2741709
208,567222878.5689975
209,529326614.48644555
210,493962209.8406006
211,460960441.7874721
212,430163590.81571895
213,401424252.06516236
214,374605007.6490619
215,349577554.4163002
216,326222203.6991231
217,304427219.9431459
218,284088370.4273742
219,265108357.90544507
220,247396411.19821432
221,230867798.40246773
222,215443468.6404465
223,201049640.9750823
224,187617469.1593559
225,175082703.49650595
226,163385387.63228768
227,152469569.74695343
228,142283047.81912875
229,132777082.49018148
230,123906216.5309422
231,115628013.09587386
232,107902878.95692939
233,100693863.04027171
234,93966483.23230949
235,87688561.12774326
236,81830068.30112393
237,76362982.5464991
238,71261154.0113091
239,66500180.58325473
240,62057287.9372678
241,57911226.33658994
242,54042164.25163744
243,50431594.77101566
244,47062248.51260238
245,43918009.07235007
246,40983836.645100705
247,38245697.380236454
248,35690493.36184345
249,33306003.296321865
250,31080821.747601993
251,29004304.922599133
252,27066520.67069327
253,25258200.26745496
254,23570694.078508675
255,21995930.696231328
256,20526377.538437426
257,19155005.57154229
258,17875255.273132898
259,16681005.379041174
260,15566543.58295095
261,14526539.245641962
262,13556017.855531141
263,12650337.206616623
264,11805165.295041582
265,11016459.4985394
266,10280447.323915128
267,9593608.2835777
268,8952657.122183558
269,8354528.057794572
270,7796360.133284792
271,7275483.52963784
272,6789406.8117583105
273,6335804.990973529
274,5912508.414130992
275,5517492.377508482
276,5148867.449233352
277,4804870.440238071
278,4483855.946364461
